density,speedKmh,requesterRatio,numResourceTypes,totalRequests,successes,failures,successRatio,totalPackets,avgDelay,avgSuccessDelay
100,20,20,3,80,55,25,0.6875,136,1.89832,0.0339179
100,30,20,3,80,49,31,0.6125,130,2.34264,0.0287969
100,40,20,3,80,49,31,0.6125,130,2.34264,0.0287969
100,50,20,3,80,49,31,0.6125,130,2.34264,0.0287969
100,60,20,3,80,49,31,0.6125,130,2.34264,0.0287969
