density,speedKmh,requesterRatio,numResourceTypes,totalRequests,successes,failures,successRatio,totalPackets,avgDelay,avgSuccessDelay
100,40,5,3,20,16,4,0.8,36,1.20664,0.00830572
100,40,10,3,40,30,10,0.75,70,1.5059,0.00787248
100,40,20,3,80,49,31,0.6125,130,2.34264,0.0287969
100,40,30,3,120,63,57,0.525,185,2.86304,0.0248332
100,40,40,3,160,77,83,0.48125,239,3.12315,0.0221227
100,40,50,3,200,87,113,0.435,291,3.39906,0.0208249
